threshold,precision,recall,f1_score,tn,fp,fn,tp,model_name
0.0,0.0016741268107003137,1.0,0.0033426575887123733,0.0,56651.0,0.0,95.0,Random Forest
0.001,0.034945144250304754,0.9052631578947369,0.06729264475743349,54276.0,2375.0,9.0,86.0,Random Forest
0.002,0.034945144250304754,0.9052631578947369,0.06729264475743349,54276.0,2375.0,9.0,86.0,Random Forest
0.003,0.034945144250304754,0.9052631578947369,0.06729264475743349,54276.0,2375.0,9.0,86.0,Random Forest
0.0033333333333333335,0.034945144250304754,0.9052631578947369,0.06729264475743349,54276.0,2375.0,9.0,86.0,Random Forest
0.004,0.10123456790123457,0.8631578947368421,0.18121546961325966,55923.0,728.0,13.0,82.0,Random Forest
0.005,0.10123456790123457,0.8631578947368421,0.18121546961325966,55923.0,728.0,13.0,82.0,Random Forest
0.006,0.10123456790123457,0.8631578947368421,0.18121546961325966,55923.0,728.0,13.0,82.0,Random Forest
0.006666666666666667,0.10123456790123457,0.8631578947368421,0.18121546961325966,55923.0,728.0,13.0,82.0,Random Forest
0.007,0.18571428571428572,0.8210526315789474,0.3029126213592233,56309.0,342.0,17.0,78.0,Random Forest
0.008,0.18571428571428572,0.8210526315789474,0.3029126213592233,56309.0,342.0,17.0,78.0,Random Forest
0.009000000000000001,0.18571428571428572,0.8210526315789474,0.3029126213592233,56309.0,342.0,17.0,78.0,Random Forest
0.01,0.18571428571428572,0.8210526315789474,0.3029126213592233,56309.0,342.0,17.0,78.0,Random Forest
0.011,0.2698961937716263,0.8210526315789474,0.40625,56440.0,211.0,17.0,78.0,Random Forest
0.012,0.2698961937716263,0.8210526315789474,0.40625,56440.0,211.0,17.0,78.0,Random Forest
0.013000000000000001,0.2698961937716263,0.8210526315789474,0.40625,56440.0,211.0,17.0,78.0,Random Forest
0.014,0.3482142857142857,0.8210526315789474,0.4890282131661442,56505.0,146.0,17.0,78.0,Random Forest
0.015,0.3482142857142857,0.8210526315789474,0.4890282131661442,56505.0,146.0,17.0,78.0,Random Forest
0.016,0.3482142857142857,0.8210526315789474,0.4890282131661442,56505.0,146.0,17.0,78.0,Random Forest
0.017,0.4126984126984127,0.8210526315789474,0.5492957746478874,56540.0,111.0,17.0,78.0,Random Forest
0.018000000000000002,0.4126984126984127,0.8210526315789474,0.5492957746478874,56540.0,111.0,17.0,78.0,Random Forest
0.019,0.4126984126984127,0.8210526315789474,0.5492957746478874,56540.0,111.0,17.0,78.0,Random Forest
0.02,0.4126984126984127,0.8210526315789474,0.5492957746478874,56540.0,111.0,17.0,78.0,Random Forest
0.021,0.484472049689441,0.8210526315789474,0.609375,56568.0,83.0,17.0,78.0,Random Forest
0.022,0.484472049689441,0.8210526315789474,0.609375,56568.0,83.0,17.0,78.0,Random Forest
0.023,0.484472049689441,0.8210526315789474,0.609375,56568.0,83.0,17.0,78.0,Random Forest
0.024,0.5342465753424658,0.8210526315789474,0.6473029045643154,56583.0,68.0,17.0,78.0,Random Forest
0.025,0.5342465753424658,0.8210526315789474,0.6473029045643154,56583.0,68.0,17.0,78.0,Random Forest
0.026000000000000002,0.5342465753424658,0.8210526315789474,0.6473029045643154,56583.0,68.0,17.0,78.0,Random Forest
0.027,0.5909090909090909,0.8210526315789474,0.6872246696035242,56597.0,54.0,17.0,78.0,Random Forest
0.028,0.5909090909090909,0.8210526315789474,0.6872246696035242,56597.0,54.0,17.0,78.0,Random Forest
0.029,0.5909090909090909,0.8210526315789474,0.6872246696035242,56597.0,54.0,17.0,78.0,Random Forest
0.03,0.5909090909090909,0.8210526315789474,0.6872246696035242,56597.0,54.0,17.0,78.0,Random Forest
0.031,0.639344262295082,0.8210526315789474,0.7188940092165899,56607.0,44.0,17.0,78.0,Random Forest
0.032,0.639344262295082,0.8210526315789474,0.7188940092165899,56607.0,44.0,17.0,78.0,Random Forest
0.033,0.639344262295082,0.8210526315789474,0.7188940092165899,56607.0,44.0,17.0,78.0,Random Forest
0.034,0.6724137931034483,0.8210526315789474,0.7393364928909952,56613.0,38.0,17.0,78.0,Random Forest
0.035,0.6724137931034483,0.8210526315789474,0.7393364928909952,56613.0,38.0,17.0,78.0,Random Forest
0.036000000000000004,0.6724137931034483,0.8210526315789474,0.7393364928909952,56613.0,38.0,17.0,78.0,Random Forest
0.037,0.6902654867256637,0.8210526315789474,0.75,56616.0,35.0,17.0,78.0,Random Forest
0.038,0.6902654867256637,0.8210526315789474,0.75,56616.0,35.0,17.0,78.0,Random Forest
0.039,0.6902654867256637,0.8210526315789474,0.75,56616.0,35.0,17.0,78.0,Random Forest
0.04,0.6902654867256637,0.8210526315789474,0.75,56616.0,35.0,17.0,78.0,Random Forest
0.041,0.7222222222222222,0.8210526315789474,0.7684729064039408,56621.0,30.0,17.0,78.0,Random Forest
0.042,0.7222222222222222,0.8210526315789474,0.7684729064039408,56621.0,30.0,17.0,78.0,Random Forest
0.043000000000000003,0.7222222222222222,0.8210526315789474,0.7684729064039408,56621.0,30.0,17.0,78.0,Random Forest
0.044,0.75,0.8210526315789474,0.7839195979899497,56625.0,26.0,17.0,78.0,Random Forest
0.045,0.75,0.8210526315789474,0.7839195979899497,56625.0,26.0,17.0,78.0,Random Forest
0.046,0.75,0.8210526315789474,0.7839195979899497,56625.0,26.0,17.0,78.0,Random Forest
0.047,0.7572815533980582,0.8210526315789474,0.7878787878787878,56626.0,25.0,17.0,78.0,Random Forest
0.048,0.7572815533980582,0.8210526315789474,0.7878787878787878,56626.0,25.0,17.0,78.0,Random Forest
0.049,0.7572815533980582,0.8210526315789474,0.7878787878787878,56626.0,25.0,17.0,78.0,Random Forest
0.05,0.7572815533980582,0.8210526315789474,0.7878787878787878,56626.0,25.0,17.0,78.0,Random Forest
0.051000000000000004,0.7647058823529411,0.8210526315789474,0.7918781725888325,56627.0,24.0,17.0,78.0,Random Forest
0.052000000000000005,0.7647058823529411,0.8210526315789474,0.7918781725888325,56627.0,24.0,17.0,78.0,Random Forest
0.053,0.7647058823529411,0.8210526315789474,0.7918781725888325,56627.0,24.0,17.0,78.0,Random Forest
0.054,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.055,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.056,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.057,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.058,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.059000000000000004,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.06,0.7878787878787878,0.8210526315789474,0.8041237113402062,56630.0,21.0,17.0,78.0,Random Forest
0.061,0.8041237113402062,0.8210526315789474,0.8125,56632.0,19.0,17.0,78.0,Random Forest
0.062,0.8041237113402062,0.8210526315789474,0.8125,56632.0,19.0,17.0,78.0,Random Forest
0.063,0.8041237113402062,0.8210526315789474,0.8125,56632.0,19.0,17.0,78.0,Random Forest
0.064,0.8125,0.8210526315789474,0.8167539267015707,56633.0,18.0,17.0,78.0,Random Forest
0.065,0.8125,0.8210526315789474,0.8167539267015707,56633.0,18.0,17.0,78.0,Random Forest
0.066,0.8125,0.8210526315789474,0.8167539267015707,56633.0,18.0,17.0,78.0,Random Forest
0.067,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.068,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.069,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.07,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.07100000000000001,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.07200000000000001,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.073,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.074,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.075,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.076,0.8210526315789474,0.8210526315789474,0.8210526315789474,56634.0,17.0,17.0,78.0,Random Forest
0.077,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.078,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.079,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.08,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.081,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.082,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.083,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.084,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.085,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.08600000000000001,0.8369565217391305,0.8105263157894737,0.8235294117647058,56636.0,15.0,18.0,77.0,Random Forest
0.08700000000000001,0.8461538461538461,0.8105263157894737,0.8279569892473119,56637.0,14.0,18.0,77.0,Random Forest
0.088,0.8461538461538461,0.8105263157894737,0.8279569892473119,56637.0,14.0,18.0,77.0,Random Forest
0.089,0.8461538461538461,0.8105263157894737,0.8279569892473119,56637.0,14.0,18.0,77.0,Random Forest
0.09,0.8461538461538461,0.8105263157894737,0.8279569892473119,56637.0,14.0,18.0,77.0,Random Forest
0.091,0.8444444444444444,0.8,0.8216216216216217,56637.0,14.0,19.0,76.0,Random Forest
0.092,0.8444444444444444,0.8,0.8216216216216217,56637.0,14.0,19.0,76.0,Random Forest
0.093,0.8444444444444444,0.8,0.8216216216216217,56637.0,14.0,19.0,76.0,Random Forest
0.094,0.8444444444444444,0.8,0.8216216216216217,56637.0,14.0,19.0,76.0,Random Forest
0.095,0.8444444444444444,0.8,0.8216216216216217,56637.0,14.0,19.0,76.0,Random Forest
0.096,0.8444444444444444,0.8,0.8216216216216217,56637.0,14.0,19.0,76.0,Random Forest
0.097,0.8539325842696629,0.8,0.8260869565217391,56638.0,13.0,19.0,76.0,Random Forest
0.098,0.8539325842696629,0.8,0.8260869565217391,56638.0,13.0,19.0,76.0,Random Forest
0.099,0.8539325842696629,0.8,0.8260869565217391,56638.0,13.0,19.0,76.0,Random Forest
0.1,0.8539325842696629,0.8,0.8260869565217391,56638.0,13.0,19.0,76.0,Random Forest
0.101,0.8735632183908046,0.8,0.8351648351648352,56640.0,11.0,19.0,76.0,Random Forest
0.10200000000000001,0.8735632183908046,0.8,0.8351648351648352,56640.0,11.0,19.0,76.0,Random Forest
0.10300000000000001,0.8735632183908046,0.8,0.8351648351648352,56640.0,11.0,19.0,76.0,Random Forest
0.10400000000000001,0.8735632183908046,0.8,0.8351648351648352,56640.0,11.0,19.0,76.0,Random Forest
0.105,0.8735632183908046,0.8,0.8351648351648352,56640.0,11.0,19.0,76.0,Random Forest
0.106,0.8735632183908046,0.8,0.8351648351648352,56640.0,11.0,19.0,76.0,Random Forest
0.107,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.108,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.109,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.11,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.111,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.112,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.113,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.114,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.115,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.116,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.117,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.11800000000000001,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.11900000000000001,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.12,0.8837209302325582,0.8,0.8397790055248618,56641.0,10.0,19.0,76.0,Random Forest
0.121,0.8941176470588236,0.8,0.8444444444444444,56642.0,9.0,19.0,76.0,Random Forest
0.122,0.8941176470588236,0.8,0.8444444444444444,56642.0,9.0,19.0,76.0,Random Forest
0.123,0.8941176470588236,0.8,0.8444444444444444,56642.0,9.0,19.0,76.0,Random Forest
0.124,0.8941176470588236,0.8,0.8444444444444444,56642.0,9.0,19.0,76.0,Random Forest
0.125,0.8941176470588236,0.8,0.8444444444444444,56642.0,9.0,19.0,76.0,Random Forest
0.126,0.8941176470588236,0.8,0.8444444444444444,56642.0,9.0,19.0,76.0,Random Forest
0.127,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.128,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.129,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.13,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.131,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.132,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.133,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.134,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.135,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.136,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.137,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.138,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.139,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.14,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.14100000000000001,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.14200000000000002,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.14300000000000002,0.9047619047619048,0.8,0.8491620111731844,56643.0,8.0,19.0,76.0,Random Forest
0.14400000000000002,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.145,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.146,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.147,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.148,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
